date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:20:39	0/0	---M--	301	error ('Moved%20Permanently')	application/binary	date:Wed,%2016%20Nov%202022%2011:50:39%20GMT	http://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/Users/skasa/Music/basera/translate.google.com/translate_a/element.20a0d8.delayed	(from https://www.mytraveltalkies.com/)
17:20:39	65139/65139	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Feb%202021%2006:57:49%20GMT	https://www.mytraveltalkies.com/img/my-img/whatsapp-img.png	C:/Users/skasa/Music/basera/www.mytraveltalkies.com/img/my-img/whatsapp-img.png	(from https://www.mytraveltalkies.com/)
17:20:39	124390/124390	---M--	200	added ('OK')	image/png	date:Mon,%2001%20Feb%202021%2006:57:51%20GMT	https://www.mytraveltalkies.com/img/my-img/call.png	C:/Users/skasa/Music/basera/www.mytraveltalkies.com/img/my-img/call.png	(from https://www.mytraveltalkies.com/)
17:20:40	76854/76854	---MC-	200	added ('OK')	text/javascript	date:Wed,%2016%20Nov%202022%2011:50:40%20GMT	https://translate.google.com/translate_a/element.js?cb=googleTranslateElementInit	C:/Users/skasa/Music/basera/translate.google.com/translate_a/elementa0d8.js	(from https://www.mytraveltalkies.com/)
17:20:40	259/259	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Nov%202022%2011:50:40%20GMT	https://mytraveltalkies.com/img/my-img/logo.png	C:/Users/skasa/Music/basera/mytraveltalkies.com/img/my-img/logo.png	(from https://www.mytraveltalkies.com/)
17:20:40	18371/18371	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Nov%202020%2017:53:16%20GMT	https://www.mytraveltalkies.com/img/my-img/logo.png	C:/Users/skasa/Music/basera/www.mytraveltalkies.com/img/my-img/logo.png	(from https://www.mytraveltalkies.com/)
17:20:40	6641/6641	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Nov%202020%2014:41:34%20GMT	https://www.mytraveltalkies.com/img/my-img/icon-1.png	C:/Users/skasa/Music/basera/www.mytraveltalkies.com/img/my-img/icon-1.png	(from https://www.mytraveltalkies.com/)
17:20:41	3434/3434	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Nov%202020%2014:42:26%20GMT	https://www.mytraveltalkies.com/img/my-img/icon-2.png	C:/Users/skasa/Music/basera/www.mytraveltalkies.com/img/my-img/icon-2.png	(from https://www.mytraveltalkies.com/)
17:20:41	2467/2467	---M--	200	added ('OK')	image/png	date:Sat,%2007%20Nov%202020%2014:43:28%20GMT	https://www.mytraveltalkies.com/img/my-img/icon-3.png	C:/Users/skasa/Music/basera/www.mytraveltalkies.com/img/my-img/icon-3.png	(from https://www.mytraveltalkies.com/)
17:20:41	306/306	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Nov%202022%2011:50:42%20GMT	https://mytraveltalkies.com/admin/include/upload/city/6013b1b547d39Mauritius%20Tour%20(21).png	C:/Users/skasa/Music/basera/mytraveltalkies.com/admin/include/upload/city/6013b1b547d39Mauritius%20Tour%20(21).png	(from https://www.mytraveltalkies.com/)
17:20:42	306/306	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Nov%202022%2011:50:42%20GMT	https://mytraveltalkies.com/admin/include/upload/city/6013b1d3b829eMauritius%20Tour%20(22).png	C:/Users/skasa/Music/basera/mytraveltalkies.com/admin/include/upload/city/6013b1d3b829eMauritius%20Tour%20(22).png	(from https://www.mytraveltalkies.com/)
17:20:43	306/306	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2016%20Nov%202022%2011:50:43%20GMT	https://mytraveltalkies.com/admin/include/upload/city/6013ab541ea2cMauritius%20Tour%20(13).png	C:/Users/skasa/Music/basera/mytraveltalkies.com/admin/include/upload/city/6013ab541ea2cMauritius%20Tour%20(13).png	(from https://www.mytraveltalkies.com/)
17:20:44	410145/410145	---M--	200	added ('OK')	image/png	date:Fri,%2029%20Jan%202021%2006:56:53%20GMT	https://www.mytraveltalkies.com/admin/include/upload/city/6013b1b547d39Mauritius%20Tour%20(21).png	C:/Users/skasa/Music/basera/www.mytraveltalkies.com/admin/include/upload/city/6013b1b547d39Mauritius%20Tour%20(21).png	(from https://www.mytraveltalkies.com/)
